iter	Passed	Remaining
403	11269	16625
404	11293	16592
405	11318	16559
406	11344	16529
407	11370	16497
408	11394	16465
409	11417	16430
410	11443	16399
411	11469	16368
412	11500	16345
413	11533	16324
414	11572	16312
415	11604	16290
416	11638	16271
417	11662	16238
418	11687	16205
419	11710	16172
420	11734	16138
421	11759	16106
422	11785	16075
423	11811	16046
424	11837	16014
425	11861	15983
426	11886	15950
427	11909	15916
428	11932	15882
429	11966	15861
430	11991	15831
431	12016	15799
432	12060	15793
433	12084	15760
434	12109	15728
435	12142	15707
436	12172	15681
437	12203	15658
438	12230	15628
439	12259	15602
440	12284	15571
441	12307	15537
442	12332	15505
443	12357	15474
444	12381	15441
445	12405	15409
446	12431	15379
447	12456	15347
448	12483	15319
449	12507	15286
450	12533	15256
451	12558	15225
452	12585	15196
453	12607	15162
454	12631	15130
455	12662	15105
456	12690	15078
457	12716	15048
458	12741	15018
459	12766	14986
460	12791	14955
461	12818	14926
462	12842	14894
463	12882	14881
464	12908	14852
465	12938	14826
466	12963	14795
467	12986	14762
468	13008	14728
469	13033	14696
470	13055	14662
471	13077	14629
472	13102	14598
473	13127	14567
474	13167	14553
475	13202	14533
476	13251	14529
477	13276	14498
478	13299	14465
479	13326	14436
480	13350	14405
481	13378	14377
482	13402	14346
483	13427	14315
484	13451	14283
485	13475	14251
486	13499	14220
487	13526	14191
488	13551	14161
489	13580	14134
490	13606	14104
491	13629	14072
492	13653	14041
493	13678	14010
494	13702	13979
495	13728	13950
496	13755	13921
497	13780	13891
498	13805	13860
499	13828	13828
500	13851	13796
501	13874	13763
502	13900	13734
503	13939	13718
504	13964	13687
505	13990	13658
506	14013	13626
507	14048	13605
508	14069	13572
509	14093	13540
510	14118	13510
511	14143	13480
512	14168	13450
513	14217	13443
514	14245	13415
515	14270	13385
516	14294	13354
517	14320	13325
518	14347	13297
519	14372	13266
520	14399	13238
521	14423	13207
522	14446	13176
523	14470	13145
524	14496	13115
525	14519	13083
526	14543	13052
527	14571	13026
528	14598	12997
529	14625	12969
530	14650	12939
531	14672	12907
532	14696	12876
533	14720	12846
534	14746	12816
535	14770	12786
536	14808	12768
537	14834	12738
538	14862	12711
539	14891	12685
540	14920	12658
541	14950	12633
542	14993	12619
543	15020	12590
544	15045	12560
545	15069	12530
546	15129	12529
547	15153	12499
548	15178	12469
549	15222	12454
550	15248	12425
551	15288	12408
552	15312	12377
553	15341	12351
554	15371	12325
555	15414	12309
556	15438	12278
557	15466	12250
558	15506	12233
559	15533	12204
560	15559	12175
561	15584	12145
562	15608	12115
563	15630	12082
564	15653	12052
565	15711	12047
566	15739	12020
567	15771	11995
568	15801	11969
569	15827	11939
570	15852	11909
571	15876	11879
572	15901	11850
573	15931	11823
574	15958	11795
575	15995	11774
576	16038	11758
577	16062	11727
578	16086	11696
579	16108	11665
580	16147	11644
581	16171	11614
582	16197	11585
583	16220	11554
584	16294	11559
585	16330	11537
586	16357	11508
587	16404	11494
588	16428	11463
589	16453	11434
590	16486	11409
591	16519	11384
592	16613	11402
593	16640	11373
594	16666	11344
595	16694	11316
596	16719	11286
597	16798	11292
598	16828	11265
599	16854	11236
600	16883	11208
601	16908	11178
602	16932	11147
603	16957	11117
604	16982	11087
605	17007	11057
606	17032	11027
607	17058	10998
608	17085	10969
609	17111	10940
610	17141	10913
611	17167	10883
612	17194	10855
613	17221	10826
614	17247	10797
615	17273	10767
616	17319	10750
617	17347	10722
618	17377	10696
619	17404	10667
620	17431	10638
621	17455	10607
622	17483	10579
623	17509	10550
624	17554	10532
625	17579	10502
626	17604	10472
627	17629	10443
628	17652	10412
629	17676	10381
630	17702	10352
631	17727	10322
632	17753	10292
633	17780	10264
634	17814	10239
635	17837	10209
636	17863	10179
637	17888	10150
638	17917	10122
639	17944	10093
640	17973	10066
641	18002	10038
642	18027	10009
643	18052	9979
644	18077	9949
645	18101	9919
646	18126	9889
647	18151	9859
648	18176	9830
649	18202	9801
650	18228	9772
651	18255	9743
652	18280	9714
653	18308	9686
654	18335	9657
655	18362	9629
656	18387	9599
657	18415	9571
658	18444	9544
659	18475	9517
660	18501	9488
661	18527	9459
662	18555	9431
663	18582	9403
664	18612	9376
665	18644	9350
666	18669	9320
667	18695	9291
668	18719	9261
669	18744	9232
670	18770	9203
671	18794	9173
672	18822	9145
673	18851	9118
674	18883	9092
675	18916	9066
676	18995	9062
677	19026	9036
678	19054	9008
679	19083	8980
680	19112	8952
681	19148	8928
682	19172	8898
683	19197	8869
684	19222	8839
685	19249	8810
686	19288	8787
687	19311	8757
688	19354	8736
689	19380	8707
690	19403	8676
691	19428	8647
