iter	Accuracy	Logloss
110	0.9059661718	0.2328533198
111	0.9060749443	0.2325697368
112	0.9063468755	0.2323060614
113	0.9064012618	0.2321879014
114	0.9065100343	0.2321068061
115	0.9065100343	0.2319689477
116	0.9065644205	0.2317453883
117	0.9064012618	0.2316161493
118	0.9065644205	0.2313538333
119	0.9067275793	0.2312255255
120	0.9069451243	0.2311059137
121	0.9067275793	0.2310300158
122	0.906890738	0.2307930836
123	0.9068363518	0.2306205119
124	0.9069451243	0.230487723
125	0.9067275793	0.2302649552
126	0.9068363518	0.2301220324
127	0.9069995105	0.2298625605
128	0.9069451243	0.2296268702
129	0.9069995105	0.2295443644
130	0.906890738	0.2294479068
131	0.9070538968	0.2293193867
132	0.9069995105	0.2291277994
133	0.9070538968	0.2289748159
134	0.9070538968	0.2288672104
135	0.9069995105	0.2287768334
136	0.9069451243	0.2286300597
137	0.9069995105	0.2285666606
138	0.9069451243	0.2284335325
139	0.9069451243	0.2283193036
140	0.9069451243	0.2281821782
141	0.9069451243	0.2280521397
142	0.9068363518	0.2279239398
143	0.9070538968	0.2278250342
144	0.9068363518	0.2277174301
145	0.9069995105	0.2275596445
146	0.9069995105	0.2274925128
147	0.9070538968	0.227444322
148	0.9072170555	0.2273663379
149	0.9070538968	0.2272461249
150	0.9069451243	0.2271207225
151	0.9070538968	0.2270332672
152	0.906890738	0.2269288882
153	0.9069995105	0.2268104031
154	0.9068363518	0.2267246369
155	0.9070538968	0.2266408432
156	0.906890738	0.2265622035
157	0.9070538968	0.2264074631
158	0.907325828	0.2263643927
159	0.907325828	0.2262116048
160	0.907325828	0.2261235744
161	0.9073802143	0.2259836874
162	0.907325828	0.2259425644
163	0.9072714418	0.2258075685
164	0.9071626693	0.2257302599
165	0.907325828	0.2256140751
166	0.9073802143	0.2255597993
167	0.9075977593	0.2253546821
168	0.907543373	0.225260058
169	0.9075977593	0.2252090632
170	0.907760918	0.2250933756
171	0.907543373	0.2249695217
172	0.907543373	0.2249481349
173	0.9073802143	0.2249006295
174	0.9074346005	0.2247848527
175	0.9077065318	0.2247440746
176	0.9077065318	0.224695052
177	0.907978463	0.2246348572
178	0.907978463	0.2245735697
179	0.908196008	0.2244136572
180	0.907978463	0.2243042114
181	0.907978463	0.2242873604
182	0.907978463	0.2242310719
183	0.908196008	0.2241787067
184	0.9080872355	0.2241427451
185	0.9084135531	0.2240492398
186	0.908196008	0.2239514919
187	0.9080872355	0.2238340318
188	0.9082503943	0.2238030477
189	0.9081416218	0.2237682523
190	0.9082503943	0.2236819408
191	0.9082503943	0.2236282921
192	0.9083047806	0.2235641748
193	0.9082503943	0.2235248672
194	0.9085767118	0.2234819356
195	0.9087398706	0.2234246141
196	0.9086854843	0.2234084377
197	0.9085767118	0.2233252814
198	0.9086310981	0.2232904102
199	0.9085223256	0.2231805615
200	0.9085767118	0.2231213052
201	0.9087942568	0.2230117533
202	0.9087398706	0.2229207491
203	0.9087942568	0.2229113009
204	0.9087398706	0.2227851641
205	0.9087398706	0.2227340094
206	0.9087398706	0.2226836557
207	0.9089030293	0.2226260734
208	0.9088486431	0.2225794496
209	0.9089574156	0.2225301083
210	0.9088486431	0.2225168595
211	0.9089574156	0.2224583051
212	0.9089030293	0.2224201714
213	0.9088486431	0.2223573721
214	0.9086854843	0.2223143695
215	0.9086854843	0.2222673008
216	0.9085767118	0.2222082426
217	0.9087398706	0.2221576135
218	0.9085223256	0.2220692382
219	0.9085223256	0.2220123588
220	0.9084679393	0.2219908464
221	0.9084135531	0.2219449528
222	0.9084679393	0.2219158547
223	0.9086310981	0.2218921406
224	0.9086854843	0.2218670388
225	0.9087398706	0.2218423039
226	0.9085223256	0.2217703251
227	0.9085767118	0.2217351263
228	0.9085767118	0.2216815415
229	0.9087942568	0.221631301
230	0.9087398706	0.2216085688
231	0.9088486431	0.221576341
232	0.9087942568	0.2215349549
233	0.9087942568	0.2215133568
234	0.9088486431	0.2214704402
235	0.9087942568	0.2214396148
236	0.9089574156	0.2213107088
237	0.9089030293	0.2212504492
238	0.9089030293	0.2211899803
239	0.9091205743	0.2210744485
240	0.9092293468	0.2210228971
241	0.9093381193	0.2210022323
242	0.9093925056	0.2209556732
243	0.9093381193	0.2209218921
244	0.9093925056	0.2209032799
245	0.9093925056	0.2208960917
246	0.9094468918	0.2208767911
247	0.9094468918	0.2208007813
248	0.9093925056	0.2207721257
249	0.9093925056	0.2207512078
250	0.9094468918	0.2206731851
251	0.9094468918	0.2206623642
252	0.9095012781	0.2205920078
253	0.9095012781	0.2205676471
254	0.9096100506	0.2205597015
255	0.9096644368	0.2205571513
256	0.9094468918	0.2205404113
257	0.9095012781	0.2204926859
258	0.9096100506	0.2204707112
259	0.9096100506	0.2204508188
260	0.9096644368	0.2204450033
261	0.9097188231	0.2204087887
262	0.9097188231	0.2204014137
263	0.9095556643	0.2203200774
264	0.9095556643	0.2202340803
265	0.9095556643	0.2202272433
266	0.9095012781	0.2202121693
267	0.9094468918	0.2201673106
268	0.9095556643	0.2201384217
269	0.9092837331	0.2201085968
270	0.9093925056	0.2200700619
271	0.9093925056	0.2200598196
272	0.9094468918	0.220042568
273	0.9094468918	0.2200391006
274	0.9094468918	0.2200119299
275	0.9094468918	0.2200086236
276	0.9098275956	0.219906598
277	0.9097188231	0.2198798107
278	0.9097188231	0.2198753805
279	0.9096100506	0.2198614595
280	0.9094468918	0.2198444287
281	0.9096100506	0.2198318474
282	0.9096100506	0.2197636487
283	0.9096100506	0.2197574497
284	0.9095556643	0.2197332739
285	0.9096100506	0.2196924222
286	0.9095556643	0.2196495705
287	0.9097188231	0.2196381786
288	0.9097732093	0.2196209235
289	0.9097732093	0.2195823459
290	0.9096644368	0.2195784084
291	0.9097188231	0.2195739412
292	0.9095012781	0.219543912
293	0.9097188231	0.2194762635
294	0.9096644368	0.219456922
295	0.9096644368	0.2194559002
296	0.9096644368	0.2194522886
297	0.9097732093	0.219436891
298	0.9098275956	0.2194121313
299	0.9098275956	0.2194088227
300	0.9097188231	0.2193616454
301	0.9097732093	0.2193466095
302	0.9100995268	0.2192817834
303	0.9099907543	0.2192661309
304	0.9100451406	0.2192386544
305	0.9099907543	0.2192145353
306	0.9099907543	0.2191581859
307	0.9099907543	0.2191526277
308	0.9098819818	0.2191392292
309	0.9097732093	0.2191151285
310	0.9098275956	0.2191047635
311	0.9098275956	0.2190909292
312	0.9097732093	0.2190566632
313	0.9098275956	0.2190515033
314	0.9099907543	0.2189994082
315	0.9099907543	0.2189402256
316	0.9099363681	0.2189289004
317	0.9099363681	0.2189241278
318	0.9099363681	0.2188644453
319	0.9099363681	0.2188616605
320	0.9100451406	0.2188347976
321	0.9099907543	0.2188220958
322	0.9100451406	0.2188129671
323	0.9099363681	0.2187999637
324	0.9098819818	0.2187758761
325	0.9098819818	0.218769758
326	0.9098275956	0.2187343652
327	0.9098275956	0.2187343607
328	0.9099363681	0.2187073338
329	0.9099907543	0.2186879968
330	0.9099363681	0.2186531984
331	0.9098819818	0.2186061441
332	0.9098819818	0.218557773
333	0.9097732093	0.2185267881
334	0.9098819818	0.2185006428
335	0.9099907543	0.218478828
336	0.9099907543	0.2184644769
337	0.9099363681	0.2184463771
338	0.9099363681	0.218440711
339	0.9098819818	0.2184253075
340	0.9098819818	0.2183802298
341	0.9099363681	0.2183469424
342	0.9101539131	0.2183168589
343	0.9101539131	0.2183159925
344	0.9102082993	0.2182994724
345	0.9100995268	0.218284574
346	0.9100995268	0.2182806142
347	0.9100451406	0.2182640168
348	0.9100995268	0.2182183944
349	0.9100995268	0.2181797801
350	0.9099907543	0.2181729596
351	0.9100451406	0.2181361154
352	0.9100995268	0.2181158889
353	0.9100995268	0.2181071951
354	0.9100995268	0.2181049488
355	0.9101539131	0.2180645664
356	0.9102626856	0.2180322779
357	0.9102082993	0.2180128073
358	0.9102626856	0.2179488157
359	0.9102626856	0.2179234033
360	0.9102626856	0.2178988154
361	0.9103714581	0.2178693103
362	0.9104802306	0.2178282716
363	0.9105346168	0.2178247828
364	0.9105346168	0.2178106651
365	0.9105890031	0.2177610263
366	0.9106977756	0.2177086865
367	0.9106433894	0.2176914104
368	0.9106433894	0.2176713008
369	0.9106433894	0.2176605607
370	0.9105346168	0.2176254507
371	0.9106433894	0.2175959411
372	0.9105890031	0.2175917836
373	0.9108065481	0.2175702297
374	0.9108065481	0.2175683795
375	0.9108065481	0.2175577133
376	0.9108609344	0.2175526063
377	0.9105890031	0.2175159171
378	0.9108609344	0.2174840589
379	0.9108609344	0.2174216628
380	0.9108609344	0.2174104402
381	0.9108065481	0.2173774542
382	0.9109153206	0.2173633951
383	0.9108065481	0.2173459894
384	0.9108609344	0.2173097347
385	0.9108609344	0.2172646969
386	0.9108609344	0.2172417181
387	0.9108065481	0.2172330944
388	0.9107521619	0.2172212618
389	0.9108065481	0.2171948507
390	0.9108609344	0.217187379
391	0.9107521619	0.2171560023
392	0.9107521619	0.2171412642
393	0.9106977756	0.2171076565
394	0.9106977756	0.2170609008
395	0.9106977756	0.2170496284
396	0.9109153206	0.2170182968
397	0.9108065481	0.2169742982
398	0.9107521619	0.2169462233
399	0.9106433894	0.2169208592
400	0.9106977756	0.2169084308
401	0.9106433894	0.2168811017
402	0.9106433894	0.216862767
403	0.9106433894	0.2168583952
404	0.9106433894	0.2168566588
405	0.9106433894	0.2168405542
406	0.9106977756	0.2168278699
407	0.9107521619	0.2168237993
408	0.9108065481	0.2168056465
409	0.9108065481	0.2167942047
410	0.9106977756	0.2167046037
411	0.9110240931	0.2166671965
412	0.9110240931	0.2166361592
413	0.9110240931	0.2166361544
414	0.9110240931	0.2166214347
415	0.9112960244	0.2165773896
416	0.9111872519	0.216549406
417	0.9112416381	0.2165430246
418	0.9112416381	0.2165407593
419	0.9112416381	0.2165407572
420	0.9112416381	0.2165387307
421	0.9111872519	0.2165246675
422	0.9111872519	0.2165144195
423	0.9112960244	0.2164914425
424	0.9112960244	0.2164635382
425	0.9113504106	0.2164504286
426	0.9114047969	0.2164261803
427	0.9112960244	0.2164193735
428	0.9114047969	0.2163937715
429	0.9112416381	0.216354534
430	0.9114591831	0.2163297489
431	0.9112960244	0.2162890642
432	0.9111872519	0.2162828395
433	0.9111872519	0.216224713
434	0.9112960244	0.21618612
435	0.9113504106	0.2161715451
436	0.9111872519	0.2161363459
437	0.9111872519	0.2160994812
438	0.9111872519	0.2160946114
439	0.9112416381	0.2160873579
440	0.9114591831	0.2160592639
441	0.9114047969	0.2160221799
442	0.9113504106	0.216012111
443	0.9114591831	0.2159904697
444	0.9113504106	0.2159606847
445	0.9113504106	0.2159570743
446	0.9113504106	0.2159474053
447	0.9114047969	0.2159315558
448	0.9114047969	0.2159184744
449	0.9115135694	0.2158840547
450	0.9114591831	0.2158485257
451	0.9114047969	0.2158353064
452	0.9114047969	0.2158279405
453	0.9114047969	0.2158279385
454	0.9114047969	0.215826623
455	0.9114591831	0.215812985
456	0.9114591831	0.215796047
457	0.9115135694	0.2157732235
458	0.9116223419	0.2157499626
459	0.9116223419	0.2157469262
460	0.9117311144	0.2157366054
461	0.9116223419	0.2157009196
462	0.9116223419	0.2156890381
463	0.9115679556	0.2156832986
464	0.9115135694	0.2156728302
465	0.9115135694	0.2156570532
466	0.9115679556	0.2156544231
467	0.9115135694	0.2156432221
468	0.9115135694	0.2156432211
469	0.9115135694	0.2156419148
470	0.9115135694	0.2156061087
471	0.9115135694	0.215601774
472	0.9114591831	0.2155948259
473	0.9115679556	0.2155897894
474	0.9115679556	0.215578012
475	0.9119486594	0.2155403404
476	0.9119486594	0.2155351686
477	0.9118942731	0.2155048855
478	0.9120030456	0.215485606
479	0.9118942731	0.2154325739
480	0.9117855006	0.2154020023
481	0.9118398869	0.2153745723
482	0.9118398869	0.2153680788
483	0.9118398869	0.2153434532
484	0.9117855006	0.2153238941
485	0.9118942731	0.2153192138
486	0.9118942731	0.2153165418
487	0.9118942731	0.2153068637
488	0.9120574319	0.2152720638
489	0.9120574319	0.2152585503
490	0.9121118181	0.2152267383
491	0.9121118181	0.2152185171
492	0.9122205906	0.2151766212
493	0.9121662044	0.2151444823
494	0.9121662044	0.2151166732
495	0.9122205906	0.2150774656
496	0.9122205906	0.2150746451
497	0.9122205906	0.215074645
498	0.9122205906	0.215048332
499	0.9122205906	0.2150341347
500	0.9122205906	0.2150084684
501	0.9122205906	0.2150052363
502	0.9120574319	0.2149825021
503	0.9121662044	0.2149534843
504	0.9121662044	0.2149332192
505	0.9123293631	0.2148844374
506	0.9122749769	0.2148745969
507	0.9122205906	0.2148721788
508	0.9122205906	0.2148371035
509	0.9121662044	0.2148304305
510	0.9121662044	0.2148245909
511	0.9121662044	0.2148203386
512	0.9121662044	0.2148120709
513	0.9121662044	0.2148059453
514	0.9121662044	0.2147926472
515	0.9121118181	0.2147832565
516	0.9120574319	0.214735385
517	0.9121662044	0.2147052077
518	0.9121118181	0.2146948602
519	0.9121118181	0.2146776747
520	0.9121118181	0.2146310867
521	0.9121118181	0.2146215622
522	0.9122205906	0.2146089233
523	0.9121662044	0.2145901227
524	0.9121662044	0.2145794022
525	0.9121662044	0.2145746415
526	0.9121118181	0.2145667075
527	0.9121662044	0.2145588109
528	0.9121118181	0.2145424357
529	0.9121118181	0.2145180857
530	0.9121118181	0.2145080394
531	0.9121118181	0.2144689203
532	0.9121118181	0.2144465665
533	0.9123293631	0.2144165103
534	0.9124381356	0.2144018087
535	0.9124381356	0.2143961362
536	0.9123293631	0.2143644015
537	0.9123293631	0.2143220108
538	0.9124381356	0.2142937695
539	0.9124381356	0.2142786159
540	0.9123837494	0.2142546131
541	0.9123837494	0.2142170603
542	0.9124381356	0.2142114275
543	0.9123293631	0.2141634509
544	0.9123837494	0.2141263411
545	0.9124381356	0.214111934
546	0.9123837494	0.2140917753
547	0.9124925219	0.214057273
548	0.9125469081	0.2140315831
549	0.9124925219	0.214007598
550	0.9124925219	0.2140053176
551	0.9124925219	0.2140008742
552	0.9124925219	0.2139971495
553	0.9124925219	0.2139963473
554	0.9126012944	0.2139731402
555	0.9126012944	0.2139664112
556	0.9126556806	0.2139437098
557	0.9127100669	0.2139221334
558	0.9127100669	0.2138789781
559	0.9127100669	0.213850355
560	0.9127644531	0.213830305
561	0.9128732256	0.2138085607
562	0.9127644531	0.2137860754
563	0.9129276119	0.2137548998
564	0.9129276119	0.2137526781
565	0.9128732256	0.2137343993
566	0.9128732256	0.2137279609
567	0.9128188394	0.2137101168
568	0.9127644531	0.2136729123
569	0.9128188394	0.213667441
570	0.9128732256	0.213659251
571	0.9128732256	0.213639379
572	0.9128188394	0.2135936502
573	0.9127644531	0.2135719378
574	0.9127644531	0.2135690082
575	0.9128732256	0.2135279507
576	0.9129276119	0.2134915892
577	0.9130907707	0.2134595969
578	0.9130907707	0.2134530064
579	0.9130907707	0.2134368773
580	0.9131995432	0.2134242662
581	0.9130907707	0.2134126059
582	0.9130907707	0.2133790278
583	0.9131451569	0.213358359
584	0.9133627019	0.213328948
585	0.9133627019	0.2133236921
586	0.9133627019	0.2133147727
587	0.9134170882	0.2132941221
588	0.9134714744	0.2132683366
589	0.9134714744	0.2132473116
590	0.9134714744	0.2132332132
591	0.9135258607	0.2132108205
592	0.9136890194	0.2131735827
593	0.9136890194	0.2131606882
594	0.9137434057	0.2131466822
595	0.9135802469	0.2131180004
596	0.9135802469	0.213111615
597	0.9135802469	0.2130465381
598	0.9137434057	0.2130217428
599	0.9136890194	0.2130068871
600	0.9136890194	0.2129895007
601	0.9136890194	0.2129701276
602	0.9136890194	0.2129506527
603	0.9136346332	0.2129325333
604	0.9136346332	0.2129277357
605	0.9136890194	0.2129140622
606	0.9136346332	0.2129091995
607	0.9136346332	0.2129001199
608	0.9136346332	0.2128809234
609	0.9135802469	0.2128469204
610	0.9136890194	0.2128256693
611	0.9136890194	0.2128072172
612	0.9135802469	0.2127894214
613	0.9137434057	0.2127700211
614	0.9136890194	0.2127677534
615	0.9137434057	0.2127618443
616	0.9135802469	0.2127293338
617	0.9138521782	0.2126975382
618	0.9137977919	0.2126798386
619	0.9137434057	0.2126666968
620	0.9137977919	0.2126648184
621	0.9137434057	0.2126358686
622	0.9137977919	0.2126304093
623	0.9137977919	0.2126283815
624	0.9137977919	0.2126283805
625	0.9136890194	0.2126056777
626	0.9137434057	0.2125940607
627	0.9138521782	0.2125698021
628	0.9136890194	0.2125620256
629	0.9135802469	0.212542098
630	0.9137977919	0.2125103319
631	0.9137434057	0.2124886776
632	0.9136890194	0.2124609283
633	0.9136890194	0.2124242731
634	0.9137977919	0.2124063216
635	0.9139609507	0.2123968679
636	0.9137977919	0.2123565653
637	0.9137977919	0.2123381392
638	0.9137434057	0.2123308667
639	0.9137434057	0.2123228437
640	0.9136890194	0.212305214
641	0.9137434057	0.2122846091
642	0.9139065644	0.2122738549
643	0.9138521782	0.2122651318
644	0.9137977919	0.2122378062
645	0.9139065644	0.2122245946
646	0.9137977919	0.2121914579
647	0.9139065644	0.2121852294
648	0.9138521782	0.212171048
649	0.9137977919	0.2121506783
650	0.9137977919	0.2121363266
651	0.9137977919	0.2121316765
652	0.9137977919	0.2121096544
653	0.9137977919	0.21210544
654	0.9137434057	0.2121021862
655	0.9136890194	0.2120701222
656	0.9139065644	0.2120422319
657	0.9139065644	0.2120378484
658	0.9137434057	0.2120186778
659	0.9138521782	0.2120036795
660	0.9138521782	0.2119988057
661	0.9140153369	0.211969242
662	0.9140153369	0.2119417433
663	0.9139609507	0.2119316204
664	0.9139609507	0.2119271755
665	0.9140153369	0.211909236
666	0.9140697232	0.2118814186
667	0.9141241094	0.211872788
668	0.9141241094	0.2118721217
669	0.9141241094	0.2118601566
670	0.9141241094	0.2118572249
671	0.9141241094	0.2118445732
672	0.9141784957	0.2118306193
673	0.9139609507	0.2117883397
674	0.9139609507	0.2117735957
675	0.9141241094	0.2117567568
676	0.9140697232	0.2117551208
677	0.9140697232	0.2117402371
678	0.9140697232	0.2117385186
679	0.9140153369	0.211722016
680	0.9140697232	0.2117105495
681	0.9141241094	0.211693751
682	0.9141784957	0.2116708936
683	0.9141784957	0.2116708933
684	0.9141784957	0.2116708921
685	0.9141784957	0.2116700188
686	0.9142872682	0.2116350537
687	0.9142328819	0.2116253516
688	0.9142328819	0.2116005515
689	0.9142872682	0.2115842544
690	0.9142872682	0.2115553027
691	0.9141784957	0.21153259
692	0.9141784957	0.2115216583
693	0.9142328819	0.2115194639
694	0.9141241094	0.2115106202
695	0.9141784957	0.2115078064
696	0.9142872682	0.2114927637
697	0.9142872682	0.2114856983
698	0.9142872682	0.2114603224
699	0.9142872682	0.2114530398
700	0.9142872682	0.2114361188
701	0.9141784957	0.2114247723
702	0.9143416544	0.2113857165
703	0.9142872682	0.2113823916
704	0.9143416544	0.2113745198
705	0.9143416544	0.2113581701
706	0.9143960407	0.2113367733
707	0.9143416544	0.2113214963
708	0.9144504269	0.2112952243
709	0.9143416544	0.2112778259
710	0.9142872682	0.2112696006
711	0.9142872682	0.2112607586
712	0.9142872682	0.2112582548
713	0.9143416544	0.2112428622
714	0.9143960407	0.2112258718
715	0.9144504269	0.2112156222
716	0.9143960407	0.2112148036
717	0.9143960407	0.2112034137
718	0.9145591994	0.2111694629
719	0.9145048132	0.2111677411
720	0.9145591994	0.2111467079
721	0.9144504269	0.2111388175
722	0.9144504269	0.2111346341
723	0.9144504269	0.2111119852
724	0.9143416544	0.2110898353
725	0.9143960407	0.2110716687
726	0.9143960407	0.2110680534
727	0.9144504269	0.2110486048
728	0.9144504269	0.211025157
729	0.9144504269	0.2110009476
730	0.9145048132	0.2109875784
731	0.9145048132	0.2109841254
732	0.9144504269	0.2109584563
733	0.9145591994	0.2109395005
734	0.9145048132	0.2109285125
735	0.9145591994	0.210919886
736	0.9145048132	0.2108928166
737	0.9146135857	0.2108715891
738	0.9146135857	0.2108705418
739	0.9146679719	0.2108373115
740	0.9146135857	0.2108186377
741	0.9146135857	0.2108172077
742	0.9146135857	0.2107995821
743	0.9146135857	0.2107995817
744	0.9146679719	0.2107854311
745	0.9147223582	0.210771425
746	0.9147223582	0.2107540139
747	0.9147223582	0.21074223
748	0.9146679719	0.2107284088
749	0.9146135857	0.2107200387
750	0.9146135857	0.2107020115
751	0.9146679719	0.2106834623
752	0.9146679719	0.2106812076
753	0.9146679719	0.2106720632
754	0.9147223582	0.210669334
755	0.9147223582	0.2106665327
756	0.9147223582	0.2106607931
757	0.9146679719	0.2106176909
758	0.9145048132	0.2105885879
759	0.9146679719	0.2105671027
760	0.9147223582	0.210552076
761	0.9146135857	0.2105415054
762	0.9146135857	0.21054109
763	0.9146135857	0.2105081339
764	0.9146679719	0.2104817533
765	0.9146135857	0.2104778257
766	0.9145591994	0.2104627546
767	0.9145591994	0.2104613465
768	0.9147767444	0.210441339
769	0.9147767444	0.2104413374
770	0.9146135857	0.2104258697
771	0.9146135857	0.2103979989
772	0.9146679719	0.2103954772
773	0.9146679719	0.2103954767
774	0.9147223582	0.2103737622
775	0.9147767444	0.2103717447
776	0.9146679719	0.2103489475
777	0.9147223582	0.2103240496
778	0.9147223582	0.2103218659
779	0.9147223582	0.210313472
780	0.9145591994	0.210277936
781	0.9146679719	0.2102640206
782	0.9146679719	0.2102263478
783	0.9146135857	0.2102200719
784	0.9147223582	0.2101949384
785	0.9147767444	0.2101722455
786	0.9147767444	0.2101718709
787	0.9147767444	0.2101681966
788	0.9147223582	0.2101564377
789	0.9148855169	0.210119823
790	0.9149399032	0.2101004694
791	0.9148855169	0.2100797976
792	0.9148855169	0.2100757786
793	0.9149399032	0.2100650947
794	0.9148855169	0.2100527969
795	0.9149399032	0.2100479703
796	0.9148855169	0.2100233573
797	0.9149399032	0.210001958
798	0.9148855169	0.2099963974
799	0.9148855169	0.2099960483
800	0.9149399032	0.2099762211
801	0.9149399032	0.2099762201
802	0.9148855169	0.2099717362
803	0.9149399032	0.209967112
804	0.9148855169	0.2099597772
805	0.9148311307	0.2099447376
806	0.9148311307	0.2099321058
807	0.9148855169	0.2099100338
808	0.9149399032	0.2098899563
809	0.9149399032	0.2098736667
810	0.9149399032	0.209868961
811	0.9149399032	0.2098689599
812	0.9148855169	0.2098556927
813	0.9148311307	0.2098444229
814	0.9148311307	0.2098444227
815	0.9148855169	0.2098271598
816	0.9148855169	0.2098213577
817	0.9149399032	0.2098104622
818	0.9148855169	0.2097906617
819	0.9148855169	0.209762449
820	0.9147767444	0.2097490937
821	0.9147767444	0.2097391778
822	0.9147767444	0.2097374879
823	0.9147767444	0.2097374877
824	0.9147767444	0.2097332138
825	0.9148855169	0.209719019
826	0.9148855169	0.209703162
827	0.9148855169	0.209701265
828	0.9148311307	0.2096883874
829	0.9148311307	0.2096717904
830	0.9148855169	0.2096675079
831	0.9148311307	0.2096483882
832	0.9147767444	0.2096356715
833	0.9149942894	0.2096030645
834	0.9148855169	0.2095777554
835	0.9149399032	0.2095595556
836	0.9149399032	0.2095513268
837	0.9149399032	0.2095504914
838	0.9148311307	0.2095380994
839	0.9149399032	0.2095179986
840	0.9149942894	0.2095051064
841	0.9149942894	0.2095051064
842	0.9149942894	0.2094802111
843	0.9149942894	0.209462862
844	0.9149942894	0.2094623149
845	0.9149942894	0.2094593599
846	0.9149942894	0.2094454364
847	0.9149942894	0.2094354614
848	0.9149942894	0.2094211351
849	0.9149942894	0.2094071376
850	0.9149942894	0.2094038587
851	0.9149399032	0.2093821689
852	0.9149399032	0.2093789635
853	0.9148855169	0.209369231
854	0.9149399032	0.2093381375
855	0.9149399032	0.2093216009
856	0.9149942894	0.2092981751
857	0.9148855169	0.2092639066
858	0.9149942894	0.2092408389
859	0.9149942894	0.2092381182
860	0.9149399032	0.2092049048
861	0.9149399032	0.2091972121
862	0.9148855169	0.2091900501
863	0.9148855169	0.2091748549
864	0.9150486757	0.2091669188
865	0.9150486757	0.2091542256
866	0.9151030619	0.2091399401
867	0.9151030619	0.2091375075
868	0.9151574482	0.2091111723
869	0.9152118344	0.2090965189
870	0.9151574482	0.2090945297
871	0.9151574482	0.2090935796
872	0.9151574482	0.2090842313
873	0.9150486757	0.2090712836
874	0.9150486757	0.2090512455
875	0.9149942894	0.2090468333
876	0.9151030619	0.209001909
877	0.9151574482	0.2089759665
878	0.9151574482	0.2089737262
879	0.9151030619	0.2089657641
